	0
Hiding	6
High	4
Highland	8
Hill	4
Him	3
Himmalehan	10
Himmalehs	9
Himself	7
Hind	4
Hindoo	6
Hindoos	7
Hindostan	9
His	3
Hish	4
Hist	4
Historians	10
Historically	12
History	7
Hither	6
Hitherto	8
Hittite	7
Hjckrrh	7
Ho	2
Hobbess	7
Hobomack	8
Hoe	3
Hogarth	7
Hogarthian	10
Hoisting	8
Hold	4
Holding	7
Holland	7
Hollanders	10
Hollands	8
Holloa	6
Holoferness	11
Holy	4
Home	4
Homeward	8
Honor	5
Honorary	8
Honourable	10
Hoods	5
Hook	4
Hoot	4
Hope	4
Horatii	7
Horn	4
Hornall	7
Horned	6
Horrible	8
Horseshoe	9
Hosea	5
Hoseas	6
Hosmannus	9
Hospital	8
Hotel	5
House	5
Hoveringly	10
How	3
However	7
Howsoever	9
Hudson	6
Huge	4
Hugest	6
Hugginss	8
Hull	4
Human	5
Humane	6
Humiliation	11
Hump	4
Humpback	8
Humpbacked	10
Humph	5
